doc_id,comment,is_identity_attack_frac,is_insult_frac,is_profane_frac,is_sexual_harassment_frac,is_threat_frac,persp_score,rating,rating_stddev
1998,The objectifying gaze may lead to a vicious cycle in which women underperform in their work,0.0,0.0,0.0,0.0,0.0,0.32470176,0.8,1.475729574745244
4033,"The dudes in that space all seem to be at least in their thirties It's not actually that weird, writing as a profession skews older, it more shows how kinda creepy it is that these companies were so intent on hiring tons of young attractive women...",0.2,0.4,0.6,0.0,0.2,0.22766687,1.8,1.6431676725154984
10413,Sooo it’s normal to not be able to be around women - why? I guess to you they are just sexual objects to you. Your lack of control is horrifying.,0.0,0.0,0.0,0.0,0.0,0.75313234,0.6,0.8944271909999159
11770,This is why feminists are insane.,0.0,0.2,0.0,0.0,0.0,0.76644164,2.0,1.224744871391589
13947,girls now leave their mothers who had a successful marriage to pick celebrities as a role models who had a successful ass and boobs surgery and whose failure in marriages are globally recognised.,0.0,0.0,0.0,0.0,0.0,0.7670632,1.8,1.4832396974191326
20637,"This is such a terrible thing to do. Women can't be expected to be responsible for hiring people. Women are very tribal and ""revenge minded."" Its foolish to entrust hormonal women to the most important part of the company.",0.0,0.0,0.0,0.0,0.0,0.7143425999999999,2.2,0.4472135954999579
29338,Wow. Women have no rights outchea.,0.0,0.0,0.2,0.0,0.2,0.68850255,0.2,0.447213595499958
33796,"Please help me understand this, women hated men but gone beyond their ways to chop their tits and take hormones to grow beards so they can look like a man????????",0.4,0.4,0.4,0.0,1.0,0.83785176,3.6,0.5477225575051661
36729,Is this how degenerate our women have become?,0.0,0.0,0.0,0.0,0.0,0.6519473000000001,2.0,1.4142135623730951
43105,A conflict theorist would say that sex IS currency and the price of pussy is being artificially inflated by jew feminists.,0.0,0.0,0.0,0.0,0.2,0.76046526,2.4,1.2649110640673518
47740,"you know i’ve always been a rational woman and i don’t believe that all men are evil or trash or whatever, but Jesus God unno mek it HARD fi be pan unno side ee man",0.0,0.2,0.0,0.0,0.0,0.6181814,0.8,1.095445115010332
54541,What is it with feminists that they feel the need to out crass the crassiest men.ugh,0.0,0.0,0.0,0.0,0.0,0.63037795,1.6,1.3416407864998738
55926,Men don't like it when it's not about them and throw temper tantrums,0.0,0.0,0.6,0.2,0.0,0.3574961,0.6,0.8944271909999159
56162,"women and americans are both incapable of understanding what the game is really about (respect, fair play, emotions) so you combine the two and you get a nightmare",0.0,0.0,0.2,0.0,0.0,0.5027902,2.0,1.8708286933869709
56805,"The problem is that, with constant bombardment by the MSM of these flawed womens' ideas, gullible people begin to believe them.",0.4,0.2,0.4,0.2,0.4,0.504608,2.4,1.51657508881031
57359,Is it that hard to believe that women are drawn to real tangible fucking things like looks and money?,0.0,0.0,0.0,0.0,0.0,0.8377332000000001,1.0,1.0
62740,This is just another attempt to govern women's bodies. Come on.,0.0,0.6,0.0,0.0,0.0,0.5672826,0.6,0.8944271909999159
62994,Just as women start getting the attention they they crave they start bitching for more! Women are never satisfied.,0.0,0.0,0.0,0.0,0.0,0.6173116999999999,3.0,1.4142135623730951
64526,And y’all ask me why I despise females.,0.0,0.2,0.2,0.0,0.2,0.7527961999999999,2.0,0.7071067811865476
65367,A liberated woman is one who has sex before marriage and a job after. ~Gloria Steinem #quote,0.0,0.0,0.0,0.0,0.0,0.3211883,1.2,1.3038404810405295
67324,"Women are sooo upright and trustworthy, #BelieveWomen right? They will do this to their own child for ""punishment""? Okay maybe she is an exception, but I see this kind of thing over and over.",0.0,0.0,0.0,0.0,0.0,0.39022288,1.4,1.51657508881031
67873,down to younger employees. A lot of older women use fake motherly personas to hide their catty personas to disguise the fact they're frozen in time and are the same bitter ppl they've always been. A lot of abusive parents take out their long held resentments on their children,0.0,0.2,0.0,0.0,0.2,0.3428330999999999,1.2,1.3038404810405295
72171,And then society would realize the flaw of feminism and men and women would go back to their traditional gender roles. Our civilization is fucked so badly that maybe a fresh start is the only hope at this point. The idea I proposed is not meant to be a model of long-term success. Rather,0.2,0.0,0.0,0.0,0.2,0.7388680999999999,1.6,1.51657508881031
73505,"Next year might be there myself, women are useless bro",0.0,0.2,0.2,0.0,0.0,0.7732956999999999,2.4,1.1401754250991378
84884,The short/average dick dudes and the women lurking here. Or just to themselves to boost their self esteem,0.0,0.0,0.2,0.0,0.0,0.53155285,2.0,1.4142135623730951
84922,Make it look authentic and see if women actually fall for it.,0.2,0.2,0.0,0.0,0.0,0.3747445,2.2,1.3038404810405295
85852,because women don't degrade 'players' for their actions but instead reward them with sex. even having to ask such a stupid question further places into question whether women actually understand this- how they're largely the instrumental in their own detriment.,0.2,0.0,0.4,0.2,0.0,0.563418,1.6,1.8165902124584947
86842,hurr durr there aren't enough women in CS/IT and it's all men's fault,0.2,0.2,0.2,0.2,0.2,0.5050815,2.0,1.4142135623730951
86858,"Ok, LOL. Enjoy being miserable because a girl rejected you that one time so you hate all feminists now, or however that story goes!",0.2,0.4,0.6,0.2,0.2,0.72978055,2.2,1.3038404810405295
87143,I suppose it is an offshoot of older women whinging about being ignored by men in favour of fresher meat. A behaviour that we see in fucking bonobo monkeys. ,0.0,0.6,0.2,0.0,0.2,0.83785176,3.8,0.4472135954999579
87400,Would women still strive to be visually appealing if men didn't exist?,0.0,0.2,0.0,0.0,0.0,0.53128433,2.0,2.0
88467,"Feminists themselves are less \""hostile\"" physically because they want to be weak fragile people with all the benefits of being a strong sturdy person. Feminists are more hostile ideologically because they need the hostility to support their fucked Marxist worldviews.",0.2,0.2,0.0,0.0,0.0,0.76644164,2.6,1.1401754250991378
88735,Can we agree that feminism is a bullshit concept and all it is aimed to do is oppress the common working man? I honestly don't have any idea what to do with my life right now...,0.2,0.4,0.0,0.0,0.2,0.7143425999999999,2.0,2.0
89726,Believe the system is stacked against men and if women truly wanted to be equal they would fight against it. Also wouldn't freak out if I dropped a chick in self defense. ,0.2,0.6,0.2,0.0,0.4,0.34449494,1.2,0.8366600265340756
90577,"Women have taken the \""bachelor\"" stereotype and ran with it as an excuse for them to sleep around",0.4,0.2,0.2,0.0,0.4,0.3063861,1.2,1.0954451150103324
90656,Feminism is a social club for spineless twats who want to sit around whining.,0.0,0.0,0.0,0.0,0.0,0.66661423,1.6,1.6733200530681511
90776,I like the retards that believe and spout nonsense they read on a book about feminism being about equality when on a completely practical level (you know the level that actually fucking matters and shows your true colours) feminism has done literally nothing more than push its divisive male hating agenda and national castration days (trust me its getting there soon),0.2,0.2,0.4,0.2,0.2,0.82307446,2.6,0.5477225575051662
91271,Feminism has no successes. Men gave them the vote. Humanist men. The same white men who freed the slaves.,0.0,0.2,1.0,0.0,0.0,0.5310942,1.2,0.8366600265340756
